"bid","site","treatment","date","time","poll_species","poll_genus","poll_simple","pollinia","corbs","milk_in","vetch","milk_out","galium","year","pollen_vetch","pollen_other"
"A10","gf1","control","2018-07-11","11:02:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,50,160
"A11","gf1","control","2018-07-11","11:08:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2018,183,3
"A128","gf1","damage","2018-07-13","13:21:00","Bombus impatiens","Bombus","Bombus",0,0,NA,NA,NA,NA,2018,33,2
"A24","gf1","control","2018-07-11","14:03:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,21,2
"A7","gf1","control","2018-07-11","10:53:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2018,18,5
"B106","gf1","control","2018-07-13","10:24:00","Andrena","Andrena","Other Bees",0,1,NA,NA,NA,NA,2018,246,0
"B207","gf3","control","2018-07-16","09:46:00","Diptera","Diptera","Other Insects",0,0,NA,NA,NA,NA,2018,3,5
"B212","gf3","damage","2018-07-16","10:44:00","Syrphus","Syrphus","Other Insects",0,0,NA,NA,NA,NA,2018,2,5
"B219","gf3","damage","2018-07-16","11:03:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2018,10,3
"B234","gf3","damage","2018-07-16","13:21:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,487,12
"B59","gf3","damage","2018-07-12","10:35:00","Bombus vagans","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,239,131
"C107","gf1","control","2018-07-13","10:32:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,21,1
"C117","gf1","control","2018-07-13","13:24:00","Bombus impatiens","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,940,5
"C5","gf1","control","2018-07-11","10:05:00","Bombus vagans","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,59,4
"D105","gf1","damage","2018-07-13","10:28:00","Bombus impatiens","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,40,0
"C106","gf1","control","2018-07-13","10:30:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,523,28
"D114","gf1","control","2018-07-13","11:34:00","Apis mellifera","Apis","Apis",7,0,NA,NA,NA,NA,2018,2,1
"D19","gf1","damage","2018-07-11","11:09:00","Bombus vagans","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,12,2
"D20","gf1","damage","2018-07-11","11:10:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2018,712,26
"D25","gf1","control","2018-07-11","00:47:00","Bombus griseocollis","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,3,512
"D30","gf1","control","2018-07-11","13:09:00","Apis mellifera","Apis","Apis",1,0,NA,NA,NA,NA,2018,1,17
"D32","gf1","damage","2018-07-11","13:50:00","Apis mellifera","Apis","Apis",0,0,NA,NA,NA,NA,2018,0,3
"D36","gf1","damage","2018-07-11","14:03:00","Bombus griseocollis","Bombus","Bombus",0,0,NA,NA,NA,NA,2018,0,2
"D67","gf3","damage","2018-07-12","00:10:00","Bombus impatiens","Bombus","Bombus",0,1,NA,NA,NA,NA,2018,15,1512
"D70","gf3","damage","2018-07-12","00:23:00","Bombus griseocollis","Bombus","Bombus",0,0,NA,NA,NA,NA,2018,5,13
"D78","gf3","control","2018-07-12","13:27:00","Bombus impatiens","Bombus","Bombus",0,0,NA,NA,NA,NA,2018,4,1284
"D9","gf1","control","2018-07-11","10:08:00","Apis mellifera","Apis","Apis",10,0,NA,NA,NA,NA,2018,4,6
"A40","gf3","damage","2019-07-01","10:15:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2019,260,5
"A41","gf3","damage","2019-07-01","10:15:00","Syrphus","Syrphus","Other Insects",0,0,NA,NA,NA,NA,2019,3,7
"A199","gf3","damage","2019-07-08","12:06:00","Agapostemon","Agapostemon","Other Bees",0,0,NA,NA,NA,NA,2019,0,432
"A220","gf3","control","2019-07-09","10:20:00","Other Insect","Other Insect","Other Insects",0,0,NA,NA,NA,NA,2019,6,3
"B35","gf3","damage","2019-07-01","09:15:00","Bombus griseocolis","Bombus","Bombus",0,1,NA,NA,NA,NA,2019,5,82
"B125","gf3","damage","2019-07-08","09:35:00","Other Insect","Other Insect","Other Insects",0,0,NA,NA,NA,NA,2019,1,7
"B144","gf3","damage","2019-07-09","09:25:00","Other Insect","Other Insect","Other Insects",0,0,NA,NA,NA,NA,2019,0,387
"C29","gf3","damage","2019-07-01","10:15:00","Lepidoptera","Lepidoptera","Other Insects",3,0,NA,NA,NA,NA,2019,0,0
"D221","gf3","damage","2019-07-08","09:15:00","Other Insect","Other Insect","Other Insects",0,0,NA,NA,NA,NA,2019,3,36
"D232","gf3","control","2019-07-08","10:05:00","Bombus impatiens","Bombus","Bombus",0,1,NA,NA,NA,NA,2019,52,0
"D244","gf3","control","2019-07-08","12:05:00","Other Insect","Other Insect","Other Insects",1,0,NA,NA,NA,NA,2019,3,564
"A7","gf4","control","2021-06-24","10:37:00","Lepidoptera","Lepidoptera","Other Insects",1,0,NA,NA,NA,NA,2021,1,9
"A11","gf4","damage","2021-06-24","12:27:00","Bombus bimaculatus","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,17,2
"A12","gf4","control","2021-06-24","13:21:00","Lepidoptera","Lepidoptera","Other Insects",0,0,NA,NA,NA,NA,2021,0,0
"B2","gf3","control","2021-06-23","11:13:00","Lepidoptera","Lepidoptera","Other Insects",0,0,NA,NA,NA,NA,2021,0,34
"B8","gf4","damage","2021-06-24","22:35:00","Megachile","Megachile","Other Bees",0,0,NA,NA,NA,NA,2021,21,246
"B9","gf4","damage","2021-06-24","22:35:00","Bombus vagans","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,7,9
"B11","gf4","control","2021-06-24","12:29:00","Other Insect","Other Insect","Other Insects",0,0,NA,NA,NA,NA,2021,0,3
"B15","gf4","damage","2021-06-24","13:25:00","Bombus bimaculatus","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,79,9
"B21","gf1","damage","2021-06-28","11:35:00","Lepidoptera","Lepidoptera","Other Insects",0,0,NA,NA,NA,NA,2021,0,9
"B26","gf1","control","2021-06-28","12:30:00","Bombus vagans","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,0,10
"B36","gf3","control","2021-06-30","10:11:00","Lepidoptera","Lepidoptera","Other Insects",2,0,NA,NA,NA,NA,2021,2,14
"C9","gf4","control","2021-06-24","09:30:00","Bombus vagans","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,0,87
"C10","gf4","control","2021-06-24","12:29:00","Bombus sandersoni","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,4,18
"C11","gf4","control","2021-06-24","12:29:00","Bombus vagans","Bombus","Bombus",0,1,NA,NA,NA,NA,2021,63,5
"C12","gf4","damage","2021-06-24","13:25:00","Bombus vagans","Bombus","Bombus",0,1,NA,NA,NA,NA,2021,49,13
"C16","gf1","control","2021-06-28","10:14:00","Bombus vagans","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,10,245
"C20","gf1","damage","2021-06-28","11:35:00","Andrena","Andrena","Other Bees",0,1,NA,NA,NA,NA,2021,228,0
"C22","gf1","control","2021-06-28","12:30:00","Andrena","Andrena","Other Bees",NA,0,NA,NA,NA,NA,2021,231,12
"C28","gf2","damage","2021-06-29","09:18:00","Osmia","Osmia","Other Bees",0,0,NA,NA,NA,NA,2021,2,2
"C48","gf3","damage","2021-06-30","10:09:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2021,393,1
"D6","gf4","damage","2021-06-24","09:37:00","Bombus vagans","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,3,3
"D8","gf4","control","2021-06-24","10:37:00","Syrphidae","Syrphidae","Other Insects",0,0,NA,NA,NA,NA,2021,0,1
"D14","gf4","control","2021-06-24","13:21:00","Andrena","Andrena","Other Bees",0,0,NA,NA,NA,NA,2021,18,15
"D17","gf1","control","2021-06-28","09:10:00","Bombus sandersoni","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,0,5
"D18","gf1","damage","2021-06-28","10:12:00","Osmia","Osmia","Other Bees",0,0,NA,NA,NA,NA,2021,11,1
"D19","gf1","damage","2021-06-28","10:12:00","Andrena","Andrena","Other Bees",0,1,NA,NA,NA,NA,2021,104,565
"D26","gf2","control","2021-06-29","09:14:00","Osmia","Osmia","Other Bees",0,0,NA,NA,NA,NA,2021,76,0
"D31","gf2","damage","2021-06-29","10:20:00","Bombus bimaculatus","Bombus","Bombus",0,0,NA,NA,NA,NA,2021,2,0
